Date,Open,High,Low,Close,Adj Close,Volume
2011-06-20,242.742737,243.358353,239.854858,484.580017,242.532532,6051100
2011-06-21,243.838837,247.217224,242.607605,493.000000,246.746750,5525200
2011-06-22,245.970978,246.421417,243.608612,487.010010,243.748749,4809300
2011-06-23,241.306305,241.671677,237.102097,480.220032,240.350357,9593700
2011-06-24,240.580582,240.615616,236.746750,474.880005,237.677673,7603500
2011-06-27,237.237244,244.444443,237.037033,482.800018,241.641647,6882500
2011-06-28,242.252258,248.353348,242.252258,493.649994,247.072067,5424700
2011-06-29,248.518524,250.375381,246.436432,497.570007,249.034027,4681300
2011-06-30,251.246246,253.588593,251.001007,506.380035,253.443451,4851900
2011-07-01,253.623627,260.850861,253.443451,521.030029,260.775787,7266100
2011-07-05,262.912903,267.967957,262.912903,532.440002,266.486481,7690700
2011-07-06,267.017029,269.524536,266.786774,535.359985,267.947937,5385800
2011-07-07,270.770782,275.615601,268.208221,546.600037,273.573578,7863100
2011-07-08,266.741730,269.094086,263.898895,531.989990,266.261261,9530800
2011-07-11,264.354340,268.258270,263.013000,527.280029,263.903900,5672900
2011-07-12,264.344330,269.979980,263.263275,534.010010,267.272278,5676700
2011-07-13,268.768768,272.272278,268.508514,538.260010,269.399414,5574800
2011-07-14,269.829834,271.271271,263.628632,528.940002,264.734741,13285700
2011-07-15,299.049042,300.425415,294.374359,597.619995,299.109100,27436700
2011-07-18,296.541534,301.326324,296.296295,594.940002,297.767761,8927600
2011-07-19,298.368378,302.642639,298.063049,602.549988,301.576569,5929000
2011-07-20,301.391388,301.716705,297.972961,595.349976,297.972961,4451100
2011-07-21,297.312317,304.334320,297.302307,606.989990,303.798798,6932000
2011-07-22,302.997986,310.060059,302.437439,618.230042,309.424438,7049300
2011-07-25,306.987000,313.018005,306.806793,618.980042,309.799805,6256900
2011-07-26,309.334320,314.064056,308.918915,622.520020,311.571564,4681100
2011-07-27,308.898895,310.785797,302.677673,607.219971,303.913910,7860900
2011-07-28,302.897888,308.298309,301.801788,610.940002,305.775787,6210500
2011-07-29,302.417419,307.787781,302.147156,603.690002,302.147156,8266500
2011-08-01,305.915924,308.058044,299.889893,606.770020,303.688690,7924200
2011-08-02,303.303314,305.140137,296.081085,592.400024,296.496490,6394700
2011-08-03,297.432434,301.801788,292.107117,601.170044,300.885895,7643700
2011-08-04,297.547546,299.724731,289.024017,577.520020,289.049042,9819300
2011-08-05,291.561554,295.295288,281.281281,579.040039,289.809814,11846300
2011-08-08,281.771759,284.784790,272.447449,546.020020,273.283295,14978200
2011-08-09,280.780792,287.592590,270.775787,573.410034,286.992004,12926400
2011-08-10,280.970978,282.342346,274.139130,549.010010,274.779785,10728400
2011-08-11,277.187195,284.534546,274.479492,562.130005,281.346344,9651500
2011-08-12,285.035034,285.535522,280.480469,563.770020,282.167175,6302200
2011-08-15,276.992004,282.777771,273.298309,557.229980,278.893890,14275500
2011-08-16,276.491486,276.496490,265.415405,539.000000,269.769775,13864900
2011-08-17,270.285278,272.117126,265.650665,533.149963,266.841827,8150000
2011-08-18,261.997009,262.707703,250.495499,504.880005,252.692688,12568800
2011-08-19,249.919922,257.692688,245.675674,490.920013,245.705704,10809100
2011-08-22,252.252258,253.753754,247.512512,498.170013,249.334335,9801900
2011-08-23,252.001999,260.965973,249.779785,518.820007,259.669678,8684900
2011-08-24,259.924927,265.265259,258.873871,523.290039,261.906921,7181800
2011-08-25,265.455444,268.903900,259.409424,520.039978,260.280273,6579400
2011-08-26,260.255249,265.490479,256.826813,526.859985,263.693695,7185400
2011-08-29,267.547546,269.994995,267.047058,539.080017,269.809814,4666900
2011-08-30,269.364349,271.766754,265.670685,540.699951,270.620605,5972000
2011-08-31,272.642639,273.423431,268.268280,540.960022,270.750763,5381200
2011-09-01,270.645660,272.187195,265.875885,532.500000,266.516510,4826100
2011-09-02,262.497498,264.224213,260.625641,524.840027,262.682678,4797500
2011-09-06,255.655655,261.641632,255.505508,522.179993,261.351349,5426100
2011-09-07,265.490479,268.238251,263.963959,534.030029,267.282288,5506000
2011-09-08,267.167175,269.819824,266.216217,534.960022,267.747742,4756200
2011-09-09,265.965973,267.592590,260.855865,524.849976,262.687683,6531000
2011-09-12,259.239227,266.261261,259.009003,530.119995,265.325317,5335400
2011-09-13,266.266266,267.207214,261.961975,529.520020,265.025024,4703600
2011-09-14,266.561554,268.743744,263.173187,532.070007,266.301300,5383400
2011-09-15,268.018005,272.762756,267.547546,542.559998,271.551544,5915600
2011-09-16,272.672668,273.693695,271.841827,546.679993,273.613617,7061500
2011-09-19,270.445435,275.225220,267.957947,546.670044,273.608612,4931800
2011-09-20,274.974976,279.539551,271.606598,546.630005,273.588593,5552600
2011-09-21,274.119110,277.777771,269.699707,539.200012,269.869873,5023500
2011-09-22,263.388397,264.654663,257.257263,520.659973,260.590576,8791700
2011-09-23,258.538544,263.473480,257.507507,525.510010,263.018005,5549000
2011-09-26,263.888885,266.731720,256.881897,531.890015,266.211212,5263100
2011-09-27,269.369354,273.798798,268.293304,539.340027,269.939941,6015700
2011-09-28,271.021027,272.282288,264.114105,528.840027,264.684692,4522000
2011-09-29,268.288300,268.918915,259.964966,527.500000,264.014008,5807300
2011-09-30,260.365356,262.262268,257.447449,515.039978,257.777771,5441700
2011-10-03,255.180176,256.256256,247.747742,495.520020,248.008011,8939800
2011-10-04,245.260254,251.971970,240.540543,501.899994,251.201202,8309200
2011-10-05,248.423416,254.154160,240.625626,504.700012,252.602600,9059100
2011-10-06,254.003998,257.872864,251.551544,514.710022,257.612610,6841700
2011-10-07,258.673676,260.510498,255.405411,515.119995,257.817810,5706000
2011-10-10,262.852844,269.003998,261.861847,537.169983,268.853851,4639700
2011-10-11,266.997009,273.673676,266.997009,543.179993,271.861847,5701000
2011-10-12,274.339325,277.892883,272.587585,548.500000,274.524536,6349200
2011-10-13,275.290283,279.779785,274.284271,558.989990,279.774780,11363800
2011-10-14,300.035034,300.100098,294.079071,591.679993,296.136139,17042700
2011-10-17,292.152161,296.211212,289.289276,582.409973,291.496490,8008300
2011-10-18,290.385376,296.576569,288.988983,590.510010,295.550537,7593900
2011-10-19,293.963959,296.326324,289.899902,580.700012,290.640656,5857100
2011-10-20,291.241241,294.739746,290.045044,583.670044,292.127136,6751200
2011-10-21,295.050049,296.671661,293.643646,590.489990,295.540527,6775200
2011-10-24,293.653656,300.285278,293.543549,596.420044,298.508514,6846900
2011-10-25,296.846832,297.797791,291.716705,583.159973,291.871857,5075900
2011-10-26,295.070068,295.385376,286.716705,586.309998,293.448456,5740400
2011-10-27,299.509521,301.651642,296.946960,598.670044,299.634644,7553000
2011-10-28,297.557556,301.451447,297.422424,600.140015,300.370361,5010900
2011-10-31,297.842834,300.145142,296.131134,592.640015,296.616608,5110400
2011-11-01,290.340332,293.048035,288.663666,578.650024,289.614624,6243900
2011-11-02,292.742737,294.274261,290.530518,584.820007,292.702698,4237500
2011-11-03,293.793793,299.049042,292.152161,597.500000,299.049042,5334200
2011-11-04,297.047058,300.170166,296.511505,596.140015,298.368378,5663900
2011-11-07,296.956970,304.694702,296.411407,608.330017,304.469482,6708000
2011-11-08,304.804810,307.492493,302.102112,612.340027,306.476471,6052700
2011-11-09,302.432434,305.000000,299.629639,600.950012,300.775787,7414500
2011-11-10,303.268280,303.278290,296.076080,595.080017,297.837830,5731000
2011-11-11,300.950958,306.351349,299.599609,608.350037,304.479492,7946000
2011-11-14,304.304291,309.349335,304.194183,613.000000,306.806793,6371000
2011-11-15,306.706696,309.349335,305.555542,616.559998,308.588593,5346600
2011-11-16,306.346344,309.459473,305.610596,611.470032,306.041046,5211700
2011-11-17,305.330322,306.451447,298.688690,600.870056,300.735748,6979600
2011-11-18,301.301300,302.552551,297.172180,594.880005,297.737732,6568800
2011-11-21,294.174164,294.544556,286.331329,580.940002,290.760773,5996500
2011-11-22,290.290283,292.777771,287.907898,580.000000,290.290283,4805700
2011-11-23,287.962952,290.415405,285.340332,570.109985,285.340332,4646900
2011-11-25,282.877869,287.422424,280.945953,563.000000,281.781769,3121600
2011-11-28,289.974976,294.704712,288.538544,588.190063,294.389404,5652100
2011-11-29,294.234222,295.475464,290.955963,582.929993,291.756744,3659900
2011-11-30,299.274261,300.055054,296.341339,599.390015,299.994995,6787200
2011-12-01,300.300293,308.308319,299.799805,613.770020,307.192200,7233900
2011-12-02,308.833832,312.312317,308.438446,620.359985,310.490479,8163200
2011-12-05,314.134125,316.266266,311.511505,625.650024,313.138153,6388600
2011-12-06,311.806793,314.624634,310.430420,623.770020,312.197205,4648300
2011-12-07,311.151154,313.143158,309.359344,623.390015,312.007019,4510000
